config,alpha,hv_mean,hv_std,hv_min,hv_max,hv_seed42,hv_seed123,hv_seed456,hv_seed789,hv_seed1000,avg_groups_mean,avg_groups_std,front_size_seed42,avg_preference_seed42,avg_cost_seed42,avg_co2_seed42
with_diversity,0.5,362010.1595,7250.3319,354664.3311,375317.6866,357590.9978,354664.3311,363591.1656,375317.6866,358886.6165,7.664,0.356,100,73.506,17.03,30.776
without_diversity,0.0,365899.0661,23680.8107,327192.4851,400382.3346,327192.4851,371995.1222,371195.4009,358729.9876,400382.3346,7.498,0.565,100,58.728,14.693,25.82
