preference,cost,co2,distinct_groups
114.92519414434736,27.054806740781626,59.17480674078162,11
75.76331314097338,30.64668724645681,23.03668724645681,9
106.25574200352142,22.694259236255192,66.3442592362552,11
10.699388785762787,4.380611249999999,14.800611250000001,3
-0.5598481429494289,6.679848166791286,7.459848166791287,2
10.462242654632568,12.45775725,1.8377572500000003,3
106.25574200352142,22.694259236255192,66.3442592362552,11
100.00590181461983,21.354099234421923,60.69409923442192,11
82.49987995340399,18.650119837979762,24.900119837979755,6
88.09894234340139,27.591057990384616,28.70105799038462,10
112.59384257996575,24.63615763461097,42.50615763461097,10
96.2127814130903,20.637219802844456,51.387219802844456,10
86.23571603846153,25.61428396153846,29.86428396153846,11
95.51330156315846,20.0566990805717,55.1866990805717,10
58.697271938368296,10.742727298692252,18.902727298692255,6
94.21885219025573,19.401148525,54.981148525,10
88.06588418172748,17.76411476923077,33.43411476923077,7
77.68382916086273,14.206171387499998,26.1161713875,8
64.77202096422975,10.407980108653845,31.827980108653847,8
88.951965466893,29.648034700000004,29.348034700000003,10
52.52932714383011,8.830674012500001,35.1706740125,8
55.2239368934906,9.4660640125,28.9760640125,8
13.667098123955027,7.512901983333333,4.032901983333334,3
105.02508006972988,23.56492086010258,50.374920860102584,11
8.790843785762787,6.16915625,11.40915625,3
83.88293578568717,17.76706526335458,26.417065263354583,7
91.37025939770848,16.489741579807692,49.729741579807694,10
104.93403862107176,22.23596288096527,47.165962880965274,10
68.67424675437655,12.41575346020017,21.72575346020017,8
91.99910072931546,21.660900295884442,36.50090029588443,8
18.299999713897705,10.409999999999998,5.2,4
24.473857707401528,10.576142483333333,6.226142483333334,5
71.6244659638977,13.885533749999999,27.47553375,8
36.97075825347443,8.079241675,18.229241675000004,6
76.29393454475286,19.22606469230769,23.806064692307693,6
11.894846295027923,4.38515355,13.605153550000002,3
97.76182284863575,23.998177845758363,40.33817784575836,10
66.3041195777954,16.19587985,17.295879850000002,6
94.52141797556735,20.53858295426511,37.578582954265116,8
31.663097299681972,7.206902330769231,16.33690233076923,5
54.2439253934906,9.1360755125,20.4560755125,7
51.47067328076057,11.019325700000001,13.929325700000001,6
90.1019511484024,20.218048112500004,48.098048112499995,9
31.08640980279541,5.7335896250000005,17.013589625,5
34.46195353051909,7.498046469480911,20.03804646948091,4
62.1999021954867,8.74009642168554,39.700096421685544,7
43.751997625744664,11.628001611315879,10.64800161131588,6
102.7876571660028,22.992344288350537,45.21234428835053,8
84.33654216090241,16.6334571,31.163457100000002,8
88.55703532343045,14.952965916346155,45.64296591634616,10
48.699983360125096,8.820016091512176,12.900016091512176,5
69.8029125920929,13.707088600000002,37.0970886,9
29.99570088079071,15.914299,7.5042990000000005,6
3.93683585,6.79316415,9.76316415,2
28.799999713897705,5.01,22.7,4
88.951965466893,29.648034700000004,29.348034700000003,10
49.187474489713615,8.502524747346929,16.612524747346928,6
37.99999916553497,17.099999999999998,6.999999999999999,5
75.59763103592165,12.832367748143602,42.6023677481436,8
-0.5598481429494289,6.679848166791286,7.459848166791287,2
38.92333124825981,12.606667821907736,8.276667821907736,5
23.16943145728836,9.76056865,6.33056865,4
41.94162827316284,11.858371250000001,9.358371250000001,4
40.49999952316284,6.98,24.599999999999998,6
51.69343811785126,15.706561,10.606561000000001,6
75.76331314097338,30.64668724645681,23.03668724645681,9
85.35396200308863,15.726035994195309,40.946035994195306,7
61.00643352462082,11.9335675125,23.593567512499998,7
74.58674892595825,20.283250025000005,20.613250025000003,7
6.679531872566616,7.040468151275242,10.020468151275242,3
15.800000011920929,7.8,6.7,3
73.8999446287338,12.740054751377896,41.80005475137789,10
105.51319290033318,24.166807409610975,40.08680740961096,10
113.0478233934273,25.43217682114944,47.65217682114943,10
36.0,5.9,30.299999999999997,4
26.899999856948853,8.76,7.0,5
45.713864770623104,8.296134973076924,11.986134973076924,6
84.10814423306732,14.451856887500002,46.1918568875,10
16.564628559265138,6.605371250000001,14.23537125,5
89.36781899813177,17.042181764807694,43.032181764807696,12
33.65109933011169,7.72890005,11.04890005,3
22.225309475479126,7.784689999999999,9.17469,2
97.24555791968841,21.904441675000005,30.554441675000003,8
89.61302671690589,25.35697337846154,30.18697337846154,10
67.49996036377813,9.710039159384708,39.400039159384704,7
84.10095450375367,14.159043875,43.799043875,7
19.96189890463257,14.708101000000001,4.138101,4
72.93576209004596,19.65423695627973,16.864236956279726,7
28.799999713897705,5.01,22.7,4
20.36343555892563,7.096564000000001,13.336564,5
16.85568025,13.544319749999998,2.3443197500000004,4
17.056283150850852,13.773716396153844,4.143716396153847,3
88.5981737458825,21.06182718394995,30.101827183949954,8
73.09613995210148,11.393861192307693,45.1038611923077,10
7.207774464590507,7.272225559251351,11.09222555925135,3
16.85568025,13.544319749999998,2.3443197500000004,4
3.93683585,6.79316415,9.76316415,2
99.84738448079071,22.0026154,44.65261539999999,9
39.39999943971634,12.040000000000001,9.200000000000001,5
28.30958124568434,19.560418425,6.390418424999999,6
