algorithm,hv_mean,hv_std,hv_min,hv_max,hv_seed42,hv_seed123,hv_seed456,hv_seed789,hv_seed1000,front_size_seed42,avg_preference_seed42,avg_cost_seed42,avg_co2_seed42
NSGA-II,348739.8097,7006.8455,341794.1643,361526.2632,344653.5288,341794.1643,350647.0712,361526.2632,345078.0211,100,73.506,17.03,30.776
SPEA2,361054.7212,15761.2173,339560.9644,379906.7532,379906.7532,352522.1448,339560.9644,354611.4562,378672.2875,100,68.944,13.166,22.631
